# m1_source	m2_source	ecc
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
37.105	11.818	0.032
